"Date","Price","Open","High","Low","Vol.","Change %"
"07/31/2000","16,455","16,487","16,713","16,455","705.80M","-0.19%"
"08/01/2000","16,290","16,475","16,591","16,127","123.64M","-1.00%"
"08/02/2000","16,314","16,284","16,535","16,121","122.88M","0.15%"
"08/03/2000","16,721","16,248","16,761","16,073","969.26M","2.49%"
"08/04/2000","16,761","16,727","16,907","16,716","109.53M","0.24%"
"08/07/2000","16,996","16,772","17,014","16,769","103.30M","1.40%"
"08/08/2000","16,885","17,005","17,062","16,858","144.52M","-0.65%"
"08/09/2000","16,534","16,894","16,977","16,511","125.04M","-2.08%"
"08/10/2000","16,835","16,519","17,023","16,501","332.44M","1.82%"
"08/11/2000","17,395","16,846","17,395","16,705","289.72M","3.33%"
"08/14/2000","17,811","17,402","17,926","17,334","276.05M","2.39%"
"08/15/2000","17,744","17,811","17,910","17,690","313.50M","-0.38%"
"08/16/2000","17,331","17,741","17,771","17,275","452.97M","-2.33%"
"08/17/2000","17,703","17,326","17,858","17,321","338.91M","2.15%"
"08/18/2000","17,314","17,703","17,780","17,258","140.16M","-2.20%"
"08/21/2000","17,083","17,317","17,420","17,066","163.99M","-1.33%"
"08/22/2000","17,224","17,086","17,428","17,086","178.86M","0.83%"
"08/23/2000","17,450","17,253","17,455","17,137","440.19M","1.31%"
"08/24/2000","17,311","17,454","17,454","17,187","288.06M","-0.80%"
"08/25/2000","17,643","17,316","17,668","17,316","274.88M","1.92%"
"08/28/2000","17,460","17,657","17,686","17,380","276.28M","-1.04%"
"08/29/2000","17,355","17,454","17,490","17,235","189.52M","-0.60%"
"08/30/2000","17,414","17,359","17,563","17,309","238.74M","0.34%"
"08/31/2000","17,347","17,417","17,563","17,327","263.49M","-0.38%"
"09/01/2000","17,577","17,360","17,577","17,360","218.95M","1.33%"
"09/04/2000","17,613","17,577","17,716","17,569","209.92M","0.20%"
"09/05/2000","17,425","17,614","17,639","17,417","311.59M","-1.07%"
"09/06/2000","17,590","17,442","17,648","17,442","439.78M","0.95%"
"09/08/2000","17,433","17,594","17,692","17,428","988.22M","-0.89%"
"09/11/2000","17,288","17,443","17,475","17,236","184.08M","-0.83%"
"09/12/2000","16,883","17,285","17,304","16,883","219.52M","-2.34%"
"09/13/2000","16,999","16,888","17,092","16,877","221.43M","0.69%"
"09/14/2000","16,769","17,032","17,108","16,731","162.62M","-1.35%"
