"Date","Price","Open","High","Low","Vol.","Change %"
"01/26/1993","1,779.30","1,779.30","1,779.30","1,779.30","45.06M","-1.41%"
"01/25/1993","1,804.66","1,804.66","1,804.66","1,804.66","42.59M","0.38%"
"01/22/1993","1,797.90","1,797.90","1,797.90","1,797.90","61.58M","1.16%"
"01/21/1993","1,777.35","1,777.35","1,777.35","1,777.35","28.55M","0.36%"
"01/20/1993","1,771.00","1,771.00","1,771.00","1,771.00","34.64M","0.36%"
"01/19/1993","1,764.59","1,764.59","1,764.59","1,764.59","67.45M","0.89%"
"01/18/1993","1,748.96","1,748.96","1,748.96","1,748.96","19.75M","-0.64%"
"01/15/1993","1,760.23","1,760.23","1,760.23","1,760.23","41.03M","-0.19%"
"01/14/1993","1,763.66","1,763.66","1,763.66","1,763.66","38.25M","-0.01%"
"01/13/1993","1,763.80","1,763.80","1,763.80","1,763.80","62.33M","-1.03%"
"01/12/1993","1,782.13","1,782.13","1,782.13","1,782.13","70.01M","-0.73%"
"01/11/1993","1,795.16","1,795.16","1,795.16","1,795.16","23.51M","-0.63%"
"01/08/1993","1,806.62","1,806.62","1,806.62","1,806.62","87.52M","-0.89%"
"01/07/1993","1,822.91","1,822.91","1,822.91","1,822.91","56.56M","-0.72%"
"01/06/1993","1,836.12","1,836.12","1,836.12","1,836.12","82.25M","1.04%"
"01/05/1993","1,817.16","1,817.16","1,817.16","1,817.16","52.83M","2.28%"
"01/04/1993","1,776.68","1,776.68","1,776.68","1,776.68","13.97M","0.98%"
"12/30/1992","1,759.44","1,759.44","1,759.44","1,759.44","14.50M","0.08%"
"12/29/1992","1,758.10","1,758.10","1,758.10","1,758.10","59.40M","0.18%"
"12/28/1992","1,754.93","1,754.93","1,754.93","1,754.93","22.36M","-0.35%"
"12/24/1992","1,761.09","1,761.09","1,761.09","1,761.09","17.83M","0.39%"
"12/23/1992","1,754.24","1,754.24","1,754.24","1,754.24","36.37M","0.10%"
"12/22/1992","1,752.52","1,752.52","1,752.52","1,752.52","47.65M","1.20%"
"12/21/1992","1,731.69","1,731.69","1,731.69","1,731.69","35.30M","0.09%"
"12/18/1992","1,730.21","1,730.21","1,730.21","1,730.21","54.06M","0.62%"
