"Date","Price","Open","High","Low","Vol.","Change %"
"11/17/1992","359.75","359.75","359.75","359.75","","10.05%"
"11/16/1992","326.91","326.91","326.91","326.91","","1.06%"
"11/13/1992","323.47","323.47","323.47","323.47","","-2.28%"
"11/12/1992","331.03","331.03","331.03","331.03","","-0.07%"
"11/11/1992","331.27","331.27","331.27","331.27","","-1.18%"
"11/10/1992","335.21","335.21","335.21","335.21","","-7.28%"
"11/09/1992","361.54","361.54","361.54","361.54","","3.40%"
"11/06/1992","349.66","349.66","349.66","349.66","","-6.58%"
"11/05/1992","374.29","374.29","374.29","374.29","","-5.86%"
"11/04/1992","397.57","397.57","397.57","397.57","","0.38%"
"11/03/1992","396.08","396.08","396.08","396.08","","3.22%"
"11/02/1992","383.74","383.74","383.74","383.74","","-3.14%"
"10/30/1992","396.16","396.16","396.16","396.16","","-3.33%"
"10/29/1992","409.81","409.81","409.81","409.81","","9.12%"
"10/28/1992","375.55","375.55","375.55","375.55","","3.54%"
"10/27/1992","362.71","362.71","362.71","362.71","","-6.93%"
"10/26/1992","389.73","389.73","389.73","389.73","","-1.89%"
"10/23/1992","397.23","397.23","397.23","397.23","","3.66%"
"10/22/1992","383.21","383.21","383.21","383.21","","3.49%"
"10/21/1992","370.30","370.30","370.30","370.30","","1.67%"
"10/20/1992","364.20","364.20","364.20","364.20","","10.69%"
"10/19/1992","329.04","329.04","329.04","329.04","","4.33%"
"10/16/1992","315.38","315.38","315.38","315.38","","-1.70%"
"10/15/1992","320.84","320.84","320.84","320.84","","-8.06%"
"10/14/1992","348.95","348.95","348.95","348.95","","0.55%"
"10/13/1992","347.05","347.05","347.05","347.05","","-4.92%"
"10/09/1992","364.99","364.99","364.99","364.99","","-3.27%"
"10/08/1992","377.32","377.32","377.32","377.32","","-4.95%"
"10/07/1992","396.96","396.96","396.96","396.96","","7.55%"
"10/06/1992","369.08","369.08","369.08","369.08","","0.06%"
"10/05/1992","368.87","368.87","368.87","368.87","","-10.50%"
"10/02/1992","412.13","412.13","412.13","412.13","","-3.19%"
"10/01/1992","425.69","425.69","425.69","425.69","","1.40%"
"09/30/1992","419.80","419.80","419.80","419.80","","-4.27%"
"09/29/1992","438.51","438.51","438.51","438.51","","-3.03%"
"09/28/1992","452.20","452.20","452.20","452.20","","-4.23%"
"09/25/1992","472.18","472.18","472.18","472.18","","-1.82%"
"09/24/1992","480.93","480.93","480.93","480.93","","0.09%"
"09/23/1992","480.50","480.50","480.50","480.50","","2.27%"
"09/22/1992","469.83","469.83","469.83","469.83","","-0.51%"
"09/21/1992","472.22","472.22","472.22","472.22","","-1.48%"
"09/18/1992","479.30","479.30","479.30","479.30","","3.15%"
"09/17/1992","464.67","464.67","464.67","464.67","","-1.21%"
"09/16/1992","470.36","470.36","470.36","470.36","","-5.48%"
"09/15/1992","497.61","497.61","497.61","497.61","","-2.22%"
"09/14/1992","508.93","508.93","508.93","508.93","","-0.36%"
"09/11/1992","510.79","510.79","510.79","510.79","","-0.66%"
"09/10/1992","514.17","514.17","514.17","514.17","","-1.80%"
"09/09/1992","523.58","523.58","523.58","523.58","","3.32%"
"09/08/1992","506.78","506.78","506.78","506.78","","-0.07%"
"09/07/1992","507.14","507.14","507.14","507.14","","-0.87%"
"09/04/1992","511.57","511.57","511.57","511.57","","2.70%"
"09/03/1992","498.13","498.13","498.13","498.13","","4.39%"
"09/02/1992","477.18","477.18","477.18","477.18","","-1.75%"
"09/01/1992","485.68","485.68","485.68","485.68","","6.89%"
"08/31/1992","454.39","454.39","454.39","454.39","","3.24%"
"08/28/1992","440.15","440.15","440.15","440.15","","4.79%"
"08/27/1992","420.04","420.04","420.04","420.04","","-0.15%"
"08/26/1992","420.65","420.65","420.65","420.65","","-2.53%"
"08/25/1992","431.57","431.57","431.57","431.57","","3.40%"
